chr	start	end	peak_name	feature	nearest_gene	distance_to_gene
chr1	236584001	236585000	peak1	intergenic	3964	31020
chr1	236586001	236587000	peak2	intergenic	3964	33020
chr1	201359001	201360000	peak3	intergenic	5317	26008
chr1	201361001	201362000	peak4	intergenic	5317	28008
chr1	47405001	47406000	peak5	intergenic	51727	10135
chr1	41236001	41237000	peak6	intergenic	124904159	4772
chr1	150000001	150001000	peak7	intergenic	11311	66279
chr1	180000001	180001000	peak8	intron	9857	0
chr1	179479001	179480000	peak9	intron	126859	0
chr1	11850001	11851000	peak10	intergenic	1185	1922
chr1	27022001	27023000	peak11	intergenic	101928391	8770
chr1	65419001	65420000	peak12	promoter	54741	587
